token_index,token,clean_token,raw_gradient_score,normalized_gradient_score,pos,sentiment_category,meaningful_token,prediction,negative_probability,positive_probability
0,I,I,0.02083512395620346,0.023239749977817702,PRON,other,True,positive,0.013465987518429756,0.9865339994430542
1, was,was,0.040142934769392014,0.14564448908483363,AUX,other,True,positive,0.013465987518429756,0.9865339994430542
2, truly,truly,0.17490679025650024,1.0,ADV,other,True,positive,0.013465987518429756,0.9865339994430542
3, and,and,0.020670292899012566,0.022194778968551158,CCONJ,other,True,positive,0.013465987518429756,0.9865339994430542
4, wonderfully,wonderfully,0.1218699961900711,0.6637653536391945,ADV,positive_sentiment,True,positive,0.013465987518429756,0.9865339994430542
5, surprised,surprised,0.062117695808410645,0.28495675591535213,ADJ,other,True,positive,0.013465987518429756,0.9865339994430542
6, at,at,0.08457529544830322,0.4273300498888547,ADP,other,True,positive,0.013465987518429756,0.9865339994430542
7," ""","""",0.03504907712340355,0.11335122071597253,PUNCT,other,False,positive,0.013465987518429756,0.9865339994430542
8,O,O,0.02722097374498844,0.06372379474786964,PROPN,other,True,positive,0.013465987518429756,0.9865339994430542
9,',',0.033867206424474716,0.10585857559114081,PUNCT,other,False,positive,0.013465987518429756,0.9865339994430542
10, Brother,Brother,0.04224637150764465,0.15897953921895122,PROPN,other,True,positive,0.013465987518429756,0.9865339994430542
11,",",",",0.02459275908768177,0.04706183692377955,PUNCT,other,False,positive,0.013465987518429756,0.9865339994430542
12, Where,Where,0.030497919768095016,0.08449848157834892,SCONJ,other,True,positive,0.013465987518429756,0.9865339994430542
13, Ar,Ar,0.04230210930109024,0.1593328972527086,UNKNOWN,other,True,positive,0.013465987518429756,0.9865339994430542
14,t,t,0.025306686758995056,0.051587887608339295,UNKNOWN,other,True,positive,0.013465987518429756,0.9865339994430542
15, Th,Th,0.03238394483923912,0.09645521810411772,UNKNOWN,other,True,positive,0.013465987518429756,0.9865339994430542
16,ou,ou,0.01979285292327404,0.016632117704075897,UNKNOWN,other,True,positive,0.013465987518429756,0.9865339994430542
17,?,?,0.028190040960907936,0.06986734053301705,PUNCT,other,False,positive,0.013465987518429756,0.9865339994430542
18,"""","""",0.04834502935409546,0.19764288794452775,PUNCT,other,False,positive,0.013465987518429756,0.9865339994430542
19, The,The,0.022977830842137337,0.03682375905544908,DET,other,True,positive,0.013465987518429756,0.9865339994430542
20, video,video,0.0451311431825161,0.17726797842432973,NOUN,other,True,positive,0.013465987518429756,0.9865339994430542
21, store,store,0.15108542144298553,0.8489808884599931,NOUN,other,True,positive,0.013465987518429756,0.9865339994430542
22, was,was,0.04459861293435097,0.17389192369062983,AUX,other,True,positive,0.013465987518429756,0.9865339994430542
23, out,out,0.029598452150821686,0.07879617280327299,ADP,other,True,positive,0.013465987518429756,0.9865339994430542
24, of,of,0.01930171251296997,0.013518460005134816,ADP,other,True,positive,0.013465987518429756,0.9865339994430542
25, all,all,0.02808324620127678,0.06919029926629203,DET,other,True,positive,0.013465987518429756,0.9865339994430542
26, the,the,0.01753278262913227,0.0023040658397509273,DET,other,True,positive,0.013465987518429756,0.9865339994430542
