pos,num_tokens,avg_normalized_gradient,avg_raw_gradient
ADJ,42,0.19355077150442135,0.06793746525155646
ADP,64,0.13526212301919285,0.05258495549787767
ADV,61,0.227377031802281,0.06826012326618199
AUX,40,0.13695172165677477,0.05101487273350358
CCONJ,34,0.1424840967669175,0.05386230711113004
DET,67,0.14893299611389926,0.05671486244606438
INTJ,2,0.3454308658019367,0.07527634501457214
NOUN,88,0.19754305028125232,0.06756853860464286
NUM,2,0.15795667882584857,0.0743553675711155
PART,18,0.10454067880814669,0.04332671868097451
PRON,70,0.1494697077824192,0.05332446079701185
PROPN,12,0.24289900795990207,0.0794227821752429
SCONJ,30,0.1680538513882056,0.05956018281479677
VERB,85,0.17593251957834224,0.06060305075610385
