token_index,token,clean_token,raw_gradient_score,normalized_gradient_score,pos,sentiment_category,meaningful_token,prediction,negative_probability,positive_probability
0,When,When,0.10107500851154327,0.543145521080046,SCONJ,other,True,positive,0.004439397249370813,0.9955606460571289
1, I,I,0.06315184384584427,0.25251165046058754,PRON,other,True,positive,0.004439397249370813,0.9955606460571289
2, uns,uns,0.09236868470907211,0.4764223821256859,UNKNOWN,other,True,positive,0.004439397249370813,0.9955606460571289
3,us,us,0.08402613550424576,0.41248712282953826,PRON,other,True,positive,0.004439397249370813,0.9955606460571289
4,pected,pected,0.11759481579065323,0.6697492888230335,UNKNOWN,other,True,positive,0.004439397249370813,0.9955606460571289
5,ly,ly,0.08297441899776459,0.4044270244235245,UNKNOWN,other,True,positive,0.004439397249370813,0.9955606460571289
6, rented,rented,0.08756463974714279,0.43960535500721104,VERB,other,True,positive,0.004439397249370813,0.9955606460571289
7, A,A,0.051108524203300476,0.16021459050594364,PROPN,other,True,positive,0.004439397249370813,0.9955606460571289
8, Th,Th,0.04336082935333252,0.10083814968212962,UNKNOWN,other,True,positive,0.004439397249370813,0.9955606460571289
9,ous,ous,0.05599126219749451,0.19763470180158266,UNKNOWN,other,True,positive,0.004439397249370813,0.9955606460571289
10,and,and,0.06876257061958313,0.29551088993900765,CCONJ,other,True,positive,0.004439397249370813,0.9955606460571289
11, Ac,Ac,0.03461875393986702,0.03384101911404839,UNKNOWN,other,True,positive,0.004439397249370813,0.9955606460571289
12,res,res,0.07834513485431671,0.3689493215295869,UNKNOWN,other,True,positive,0.004439397249370813,0.9955606460571289
13,",",",",0.036986999213695526,0.05199067240845209,PUNCT,other,False,positive,0.004439397249370813,0.9955606460571289
14, I,I,0.03730049356818199,0.0543932165649043,PRON,other,True,positive,0.004439397249370813,0.9955606460571289
15, thought,thought,0.048016104847192764,0.13651504393679784,VERB,other,True,positive,0.004439397249370813,0.9955606460571289
16, I,I,0.044030629098415375,0.10597133131845624,PRON,other,True,positive,0.004439397249370813,0.9955606460571289
17, was,was,0.0415918231010437,0.08728091787447544,AUX,other,True,positive,0.004439397249370813,0.9955606460571289
18, in,in,0.04146209731698036,0.08628673115314482,ADP,other,True,positive,0.004439397249370813,0.9955606460571289
19, for,for,0.0455126129090786,0.11732889324360862,ADP,other,True,positive,0.004439397249370813,0.9955606460571289
